CASE_ID,CASE_TYPE,CASE_OPEN_DATE,CASE_CLOSED_DATE,CASE_REOPEN_DATE,DISAB_FLG
SD48810229,Emp and Assistance,1994-06-30,2018-07-19,2009-02-20,Y
SD48249394,Emp and Assistance,1992-05-08,2006-06-02,2006-03-24,N
SD47711074,Emp and Assistance,1994-04-29,2001-10-19,2001-05-15,Y
SD1280189561,Emp and Assistance,2020-07-09,2023-03-22,2021-10-27,N
SD46997087,Emp and Assistance,2010-03-04,2023-04-14,2022-03-01,N
SD47984919,Emp and Assistance,2005-12-28,2010-04-20,2009-06-15,N
SD48102684,Emp and Assistance,2008-12-09,2013-08-24,2011-04-06,N
SD46969455,Emp and Assistance,1996-01-23,1999-08-28,1998-06-30,N
SD47603939,Emp and Assistance,2002-03-19,2011-11-15,2011-03-15,N
SD47699899,Emp and Assistance,1995-08-11,2010-08-18,2009-02-11,Y
SD47659633,Emp and Assistance,1991-03-19,2001-02-20,2000-11-28,Y
SD47898471,Emp and Assistance,2008-05-01,2018-05-11,2017-08-31,N
SD48600698,Emp and Assistance,2009-02-13,2009-06-12,2009-04-07,N
SD1070053722,Emp and Assistance,2018-11-27,2023-06-16,2022-05-03,N
SD47236310,Emp and Assistance,1991-06-03,2007-01-31,2003-01-07,N
SD632373350,Emp and Assistance,2016-01-13,2017-03-06,2016-09-02,N
SD47593540,Emp and Assistance,1991-08-27,2012-08-23,2012-07-16,N
SD1368266459,Emp and Assistance,2023-02-10,2023-03-01,2023-03-01,N
SD1031054640,Emp and Assistance,2018-08-24,2020-02-06,2019-06-14,N
SD49014824,Emp and Assistance,2010-07-16,2011-04-15,2010-09-13,N
SD952963676,Emp and Assistance,2018-02-20,2022-09-16,2021-11-17,N
SD47261973,Emp and Assistance,1996-01-29,2004-11-08,2004-11-08,Y
SD588368206,Emp and Assistance,2015-09-28,2016-12-17,2016-04-14,N
SD47512584,Emp and Assistance,2001-09-14,2005-01-04,2004-02-23,Y
SD47081797,Emp and Assistance,1998-01-13,2006-08-31,1999-06-25,N
SD48751722,Emp and Assistance,1993-01-11,2003-03-03,2000-05-11,Y
SD48975733,Emp and Assistance,2000-07-04,2019-09-26,2000-08-01,Y
SD694069728,Emp and Assistance,2016-06-02,2018-11-17,2018-06-26,N
SD49017492,Emp and Assistance,2012-04-20,2016-10-03,2015-05-11,N
SD48811206,Emp and Assistance,2004-11-16,2005-09-19,2005-09-07,Y
SD47618027,Emp and Assistance,2004-04-19,2018-04-21,2016-10-03,N
SD48557759,Emp and Assistance,2006-12-06,2010-09-13,2008-09-22,N
SD48042879,Emp and Assistance,1991-04-08,2005-04-12,2000-02-02,Y
SD48256764,Emp and Assistance,1993-04-08,2003-07-18,2001-04-26,N
SD47889435,Emp and Assistance,1992-10-02,2004-03-03,1996-04-29,Y
SD47327401,Emp and Assistance,2010-10-22,2013-10-29,2012-09-04,N
SD47268409,Emp and Assistance,1992-08-12,2001-10-24,2000-09-01,Y
SD47886060,Emp and Assistance,2001-05-08,2013-12-31,2013-08-20,Y
SD48393390,Emp and Assistance,2011-01-14,2022-12-06,2019-12-13,N
